codigo_ibge,nome,capital,uf,nome_estado,regiao,latitude,longitude,codigo_uf,siafi_id,ddd,fuso_horario
1500107,Abaetetuba,0,PA,Pará,Norte,-1.72183,-48.8788,15,401,91,America/Sao_Paulo
1500131,Abel Figueiredo,0,PA,Pará,Norte,-4.95333,-48.3933,15,375,94,America/Sao_Paulo
1700251,Abreulândia,0,TO,Tocantins,Norte,-9.62101,-49.1518,17,337,63,America/Sao_Paulo
2100055,Açailândia,0,MA,Maranhão,Nordeste,-4.94714,-47.5004,21,961,99,America/Sao_Paulo
1500206,Acará,0,PA,Pará,Norte,-1.95383,-48.1985,15,403,91,America/Sao_Paulo
5100102,Acorizal,0,MT,Mato Grosso,Centro-Oeste,-15.194,-56.3632,51,9001,65,America/Porto_Velho
1200013,Acrelândia,0,AC,Acre,Norte,-9.82581,-66.8972,12,643,68,America/Rio_Branco
2100105,Afonso Cunha,0,MA,Maranhão,Nordeste,-4.13631,-43.3275,21,701,98,America/Sao_Paulo
1500305,Afuá,0,PA,Pará,Norte,-0.154874,-50.3861,15,405,91,America/Sao_Paulo
1500347,Água Azul do Norte,0,PA,Pará,Norte,-6.79053,-50.4791,15,383,94,America/Sao_Paulo
5100201,Água Boa,0,MT,Mato Grosso,Centro-Oeste,-14.051,-52.1601,51,9191,66,America/Porto_Velho
2100154,Água Doce do Maranhão,0,MA,Maranhão,Nordeste,-2.84048,-42.1189,21,104,98,America/Sao_Paulo
1700301,Aguiarnópolis,0,TO,Tocantins,Norte,-6.55409,-47.4702,17,72,63,America/Sao_Paulo
2100204,Alcântara,0,MA,Maranhão,Nordeste,-2.39574,-44.4062,21,703,98,America/Sao_Paulo
2100303,Aldeias Altas,0,MA,Maranhão,Nordeste,-4.62621,-43.4689,21,705,99,America/Sao_Paulo
1500404,Alenquer,0,PA,Pará,Norte,-1.94623,-54.7384,15,407,93,America/Sao_Paulo
1700350,Aliança do Tocantins,0,TO,Tocantins,Norte,-11.3056,-48.9361,17,9441,63,America/Sao_Paulo
1700400,Almas,0,TO,Tocantins,Norte,-11.5706,-47.1792,17,9207,63,America/Sao_Paulo
1500503,Almeirim,0,PA,Pará,Norte,-1.52904,-52.5788,15,409,93,America/Sao_Paulo
5100250,Alta Floresta,0,MT,Mato Grosso,Centro-Oeste,-9.86674,-56.0867,51,8987,66,America/Porto_Velho
1100015,Alta Floresta D'Oeste,0,RO,Rondônia,Norte,-11.9283,-61.9953,11,33,69,America/Porto_Velho
1500602,Altamira,0,PA,Pará,Norte,-3.20407,-52.21,15,411,93,America/Sao_Paulo
2100402,Altamira do Maranhão,0,MA,Maranhão,Nordeste,-4.16598,-45.4706,21,707,98,America/Sao_Paulo
1400050,Alto Alegre,0,RR,Roraima,Norte,2.98858,-61.3072,14,305,95,America/Porto_Velho
